地段位置或門牌,總價(萬元),單價,總面積,主建物佔比,型態,樓別/樓高,交易筆棟數,建物現況格局,管理組織,電梯,交易年份
頂埔下２９號二樓之１６,230.0,21.9,10.5,64.26%,華廈(10層含以下有電梯),二層/三層,土:1 建:1車:0,1房0廳1衛,有,有,112
榜林６之１８號四樓,830.0,22.9,36.17,74.62%,華廈(10層含以下有電梯),四層/五層,土:3 建:1車:0,3房2廳2衛,無,有,112
榜林６之１７號二樓,895.0,25.2,35.48,75.70%,華廈(10層含以下有電梯),二層/五層,土:3 建:1車:0,3房2廳2衛,無,有,112
瓊安路１３０８號三樓,540.0,20.1,26.82,74.82%,華廈(10層含以下有電梯),三層/五層,土:1 建:1車:0,3房1廳2衛,無,有,112
榜林６之１５號三樓,828.0,22.9,36.17,74.62%,華廈(10層含以下有電梯),三層/五層,土:3 建:1車:0,3房2廳2衛,無,有,112
湖下２１３之５號,850.0,20.6,41.29,63.82%,公寓(5樓含以下無電梯),一層/三層,土:2 建:1車:1,3房2廳2衛,有,無,112
頂埔下２３之５號三樓,230.0,24.7,9.32,75.24%,公寓(5樓含以下無電梯),三層/三層,土:2 建:1車:0,1房1廳1衛,無,無,112
埔後３２之１號二樓之６,290.0,29.3,9.89,84.29%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,1房1廳1衛,無,無,112
瓊安路１３００號三樓,680.0,22.3,30.56,75.55%,華廈(10層含以下有電梯),三層/五層,土:1 建:1車:0,3房2廳2衛,無,有,112
榜林６之１５號五樓,830.0,22.9,36.17,74.62%,華廈(10層含以下有電梯),五層/五層,土:3 建:1車:0,3房2廳2衛,無,有,112
中堡１之７號二樓,645.0,23.5,27.47,75.52%,華廈(10層含以下有電梯),二層/五層,土:2 建:1車:0,3房1廳2衛,無,有,112
下堡１００之１３號,2000.0,30.4,65.88,65.07%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:1,4房0廳4衛,有,無,112
下堡１９３號三樓,260.0,23.5,11.07,80.22%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,112
嚨口３６號,565.0,22.0,25.74,89.25%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,3房2廳2衛,無,無,112
榜林６之１７號三樓,895.0,25.2,35.48,75.70%,華廈(10層含以下有電梯),三層/五層,土:3 建:1車:0,3房2廳2衛,無,有,112
盤果路６９號二樓,910.0,24.3,37.44,73.70%,華廈(10層含以下有電梯),二層/四層,土:1 建:1車:0,3房2廳2衛,無,有,112
下堡１００之２９號三樓之１,175.0,23.8,7.34,78.15%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,112
榜林６之１７號,886.0,25.0,35.48,75.70%,華廈(10層含以下有電梯),一層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
榜林６之１８號五樓,920.0,25.4,36.17,74.62%,華廈(10層含以下有電梯),五層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
榜林６之１５號四樓,820.0,22.7,36.17,74.62%,華廈(10層含以下有電梯),四層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
下堡１００之２９號三樓之３,195.0,23.0,8.49,79.34%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
下堡１００之２８號三樓之２,173.0,23.2,7.47,78.30%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
前厝４６之８號,700.0,16.6,42.09,65.86%,華廈(10層含以下有電梯),一層/三層,土:1 建:1車:1,2房2廳2衛,有,有,111
下堡１００之２９號三樓之２,175.0,23.4,7.47,78.30%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
下堡１００之１７號三樓,300.0,17.1,17.49,64.75%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:1,1房1廳1衛,有,無,111
盤果路６９號三樓,900.0,24.0,37.44,73.70%,公寓(5樓含以下無電梯),三層/四層,土:1 建:1車:0,3房2廳2衛,無,無,111
榜林６之１５號二樓,835.0,23.1,36.17,74.62%,華廈(10層含以下有電梯),二層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
榜林６之１６號五樓,825.0,23.3,35.48,75.70%,華廈(10層含以下有電梯),五層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
榜林６之１６號四樓,825.0,23.3,35.48,75.70%,華廈(10層含以下有電梯),四層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
湖下３０１之１號四樓,580.0,25.1,23.14,73.64%,華廈(10層含以下有電梯),四層/五層,土:1 建:1車:0,2房1廳1衛,有,有,111
榜林６之１６號三樓,820.0,23.1,35.48,75.70%,華廈(10層含以下有電梯),三層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
下堡１００之２５號三樓,175.0,18.8,9.31,85.05%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
西浦頭７５之５號二樓,605.0,20.8,29.08,82.75%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,無,無,111
榜林６之１７號四樓,825.0,23.3,35.48,75.70%,華廈(10層含以下有電梯),四層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
下堡１００之２３號,170.0,19.5,8.73,84.07%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
西堡３９之１１號,430.0,22.0,19.52,77.32%,華廈(10層含以下有電梯),一層/五層,土:1 建:1車:0,2房1廳1衛,有,有,111
瓊安路１３０８號五樓,620.0,21.6,31.13,74.82%,華廈(10層含以下有電梯),五層/五層,土:1 建:1車:1,3房2廳2衛,無,有,111
瓊安路１３０６號二樓之２,600.0,19.7,32.8,73.04%,華廈(10層含以下有電梯),二層/五層,土:1 建:1車:1,3房2廳2衛,無,有,111
頂堡５之９號二樓,820.0,19.1,42.93,59.88%,華廈(10層含以下有電梯),二層/六層,土:1 建:1車:0,3房1廳2衛,有,有,111
榜林６之１６號,875.0,24.7,35.48,75.70%,華廈(10層含以下有電梯),一層/五層,土:3 建:1車:0,3房2廳2衛,無,有,111
下堡１２０號二樓之２,530.0,22.7,23.33,72.54%,華廈(10層含以下有電梯),二層/五層,土:1 建:1車:0,3房2廳2衛,無,有,111
下堡１２０號四樓之５,660.0,22.5,29.28,67.21%,華廈(10層含以下有電梯),四層/五層,土:1 建:1車:0,3房2廳2衛,無,有,111
瓊安路１３００號五樓,750.0,24.5,30.56,75.55%,華廈(10層含以下有電梯),五層/五層,土:1 建:1車:0,3房2廳2衛,無,有,111
下堡２２９號三樓,464.0,18.7,24.78,76.62%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,2房1廳1衛,有,無,111
下堡１００之２８號二樓之２,170.0,22.8,7.47,78.30%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
仁愛新６６之３號二樓,470.0,24.8,18.93,85.81%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,2房1廳1衛,無,無,111
下堡１００之２８號三樓之１,175.0,23.8,7.34,78.15%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
下堡１００之２８號三樓之３,195.0,23.0,8.49,79.34%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
下堡１００之２９號三樓,205.0,21.3,9.62,81.85%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
安岐２３８之５號,598.0,19.8,30.2,85.04%,華廈(10層含以下有電梯),一層/五層,土:2 建:1車:0,3房2廳2衛,有,有,111
安岐２３８之３號三樓,608.0,17.6,34.45,78.21%,華廈(10層含以下有電梯),三層/五層,土:2 建:1車:0,3房2廳2衛,有,有,111
安岐２３８之５號四樓,630.0,19.3,32.69,78.56%,華廈(10層含以下有電梯),四層/五層,土:2 建:1車:0,3房2廳2衛,有,有,111
安岐２３８之３號五樓,598.0,17.4,34.34,78.14%,華廈(10層含以下有電梯),五層/五層,土:2 建:1車:0,3房2廳2衛,有,有,111
下堡１００之２８號三樓,205.0,21.3,9.62,81.85%,公寓(5樓含以下無電梯),三層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
安岐２３８之３號四樓,580.0,16.9,34.34,78.14%,華廈(10層含以下有電梯),四層/五層,土:2 建:1車:0,3房2廳2衛,有,有,111
下堡１２０之２號,390.0,22.5,17.87,68.87%,華廈(10層含以下有電梯),一層/五層,土:1 建:1車:1,2房1廳2衛,無,有,111
安岐２３８之５號三樓,618.0,18.9,32.69,78.56%,華廈(10層含以下有電梯),三層/五層,土:2 建:1車:0,3房1廳2衛,無,有,111
安岐２３８之５號二樓,638.0,19.5,32.69,78.56%,華廈(10層含以下有電梯),二層/五層,土:2 建:1車:0,3房1廳2衛,無,有,111
安岐２３８之５號五樓,646.0,19.8,32.69,78.56%,華廈(10層含以下有電梯),五層/五層,土:2 建:1車:0,3房1廳2衛,無,有,111
安岐２３８之３號,655.0,20.9,31.29,85.56%,華廈(10層含以下有電梯),一層/五層,土:2 建:1車:0,3房1廳2衛,無,有,111
嚨口３５號二樓,235.0,16.8,14.01,81.96%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,3房2廳2衛,有,無,111
安岐２３８之３號二樓,638.0,18.5,34.45,78.21%,華廈(10層含以下有電梯),二層/五層,土:2 建:1車:0,3房1廳2衛,無,有,111
頂堡３０１號,620.0,15.7,39.38,77.38%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:1,3房2廳2衛,無,無,111
西浦頭７５之６號,535.0,20.4,26.23,89.68%,公寓(5樓含以下無電梯),一層/三層,土:1 建:1車:0,3房2廳2衛,無,無,111
瓊安路１３０６號五樓之２,655.0,21.4,32.8,73.04%,華廈(10層含以下有電梯),五層/五層,土:1 建:1車:1,3房2廳2衛,無,有,111
下堡１００之２８號二樓之１,175.0,23.8,7.34,78.15%,公寓(5樓含以下無電梯),二層/三層,土:1 建:1車:0,1房1廳1衛,無,無,111
榜林３８之９號三樓,220.0,25.4,8.65,79.01%,公寓(5樓含以下無電梯),三層/三層,土:2 建:1車:0,1房0廳1衛,無,無,111
西堡５之６號五樓,610.0,18.7,32.65,69.68%,華廈(10層含以下有電梯),五層/五層,土:1 建:1車:0,2房2廳2衛,無,有,111
西堡５之６號四樓,600.0,18.4,32.65,69.68%,華廈(10層含以下有電梯),四層/五層,土:1 建:1車:0,2房2廳2衛,無,有,111
西堡５之６號三樓,600.0,18.4,32.65,69.68%,華廈(10層含以下有電梯),三層/五層,土:1 建:1車:0,2房2廳2衛,無,有,111
西堡５之６號二樓,600.0,18.4,32.65,69.68%,華廈(10層含以下有電梯),二層/五層,土:1 建:1車:0,2房2廳2衛,無,有,111
西山１７號四樓,630.0,22.1,28.56,75.13%,華廈(10層含以下有電梯),四層/五層,土:3 建:1車:0,3房2廳2衛,有,有,111
林湖路５０９號,870.0,18.4,47.2,85.67%,華廈(10層含以下有電梯),"一層,地下一層/三層",土:1 建:1車:0,3房2廳2衛,有,有,111
湖下２３之２號,200.0,15.9,12.61,74.93%,公寓(5樓含以下無電梯),一層/三層,土:1 建:2車:0,1房1廳1衛,無,無,111
湖下２３之２號二樓,200.0,15.1,13.25,71.32%,公寓(5樓含以下無電梯),二層/三層,土:1 建:2車:0,1房1廳1衛,無,無,111
