總價(萬元),單價,總面積,主建物佔比,型態,管理組織,電梯,交易年份,土,建,車,房,廳,衛,樓別,樓高,地區
230.0,21.9,10.5,64.26%,華廈(10層含以下有電梯),有,有,112,1,1,0,1.0,0.0,1.0,二層,3,頂埔下
830.0,22.9,36.17,74.62%,華廈(10層含以下有電梯),無,有,112,3,1,0,3.0,2.0,2.0,四層,5,榜林
895.0,25.2,35.48,75.70%,華廈(10層含以下有電梯),無,有,112,3,1,0,3.0,2.0,2.0,二層,5,榜林
540.0,20.1,26.82,74.82%,華廈(10層含以下有電梯),無,有,112,1,1,0,3.0,1.0,2.0,三層,5,瓊安路
828.0,22.9,36.17,74.62%,華廈(10層含以下有電梯),無,有,112,3,1,0,3.0,2.0,2.0,三層,5,榜林
850.0,20.6,41.29,63.82%,公寓(5樓含以下無電梯),有,無,112,2,1,1,3.0,2.0,2.0,一層,3,湖下
230.0,24.7,9.32,75.24%,公寓(5樓含以下無電梯),無,無,112,2,1,0,1.0,1.0,1.0,三層,3,頂埔下
290.0,29.3,9.89,84.29%,公寓(5樓含以下無電梯),無,無,112,1,1,0,1.0,1.0,1.0,二層,3,埔後
680.0,22.3,30.56,75.55%,華廈(10層含以下有電梯),無,有,112,1,1,0,3.0,2.0,2.0,三層,5,瓊安路
830.0,22.9,36.17,74.62%,華廈(10層含以下有電梯),無,有,112,3,1,0,3.0,2.0,2.0,五層,5,榜林
645.0,23.5,27.47,75.52%,華廈(10層含以下有電梯),無,有,112,2,1,0,3.0,1.0,2.0,二層,5,中堡
2000.0,30.4,65.88,65.07%,公寓(5樓含以下無電梯),有,無,112,1,1,1,4.0,0.0,4.0,一層,3,下堡
260.0,23.5,11.07,80.22%,公寓(5樓含以下無電梯),無,無,112,1,1,0,1.0,1.0,1.0,三層,3,下堡
565.0,22.0,25.74,89.25%,公寓(5樓含以下無電梯),無,無,112,1,1,0,3.0,2.0,2.0,一層,3,嚨口
895.0,25.2,35.48,75.70%,華廈(10層含以下有電梯),無,有,112,3,1,0,3.0,2.0,2.0,三層,5,榜林
910.0,24.3,37.44,73.70%,華廈(10層含以下有電梯),無,有,112,1,1,0,3.0,2.0,2.0,二層,4,盤果路
175.0,23.8,7.34,78.15%,公寓(5樓含以下無電梯),無,無,112,1,1,0,1.0,1.0,1.0,三層,3,下堡
886.0,25.0,35.48,75.70%,華廈(10層含以下有電梯),無,有,111,3,1,0,3.0,2.0,2.0,一層,5,榜林
920.0,25.4,36.17,74.62%,華廈(10層含以下有電梯),無,有,111,3,1,0,3.0,2.0,2.0,五層,5,榜林
820.0,22.7,36.17,74.62%,華廈(10層含以下有電梯),無,有,111,3,1,0,3.0,2.0,2.0,四層,5,榜林
195.0,23.0,8.49,79.34%,公寓(5樓含以下無電梯),無,無,111,1,1,0,1.0,1.0,1.0,三層,3,下堡
173.0,23.2,7.47,78.30%,公寓(5樓含以下無電梯),無,無,111,1,1,0,1.0,1.0,1.0,三層,3,下堡
700.0,16.6,42.09,65.86%,華廈(10層含以下有電梯),有,有,111,1,1,1,2.0,2.0,2.0,一層,3,前厝
175.0,23.4,7.47,78.30%,公寓(5樓含以下無電梯),無,無,111,1,1,0,1.0,1.0,1.0,三層,3,下堡
300.0,17.1,17.49,64.75%,公寓(5樓含以下無電梯),有,無,111,1,1,1,1.0,1.0,1.0,三層,3,下堡
900.0,24.0,37.44,73.70%,公寓(5樓含以下無電梯),無,無,111,1,1,0,3.0,2.0,2.0,三層,4,盤果路
835.0,23.1,36.17,74.62%,華廈(10層含以下有電梯),無,有,111,3,1,0,3.0,2.0,2.0,二層,5,榜林
825.0,23.3,35.48,75.70%,華廈(10層含以下有電梯),無,有,111,3,1,0,3.0,2.0,2.0,五層,5,榜林
825.0,23.3,35.48,75.70%,華廈(10層含以下有電梯),無,有,111,3,1,0,3.0,2.0,2.0,四層,5,榜林
580.0,25.1,23.14,73.64%,華廈(10層含以下有電梯),有,有,111,1,1,0,2.0,1.0,1.0,四層,5,湖下
820.0,23.1,35.48,75.70%,華廈(10層含以下有電梯),無,有,111,3,1,0,3.0,2.0,2.0,三層,5,榜林
175.0,18.8,9.31,85.05%,公寓(5樓含以下無電梯),無,無,111,1,1,0,1.0,1.0,1.0,三層,3,下堡
605.0,20.8,29.08,82.75%,公寓(5樓含以下無電梯),無,無,111,1,1,0,3.0,2.0,2.0,二層,3,西浦頭
825.0,23.3,35.48,75.70%,華廈(10層含以下有電梯),無,有,111,3,1,0,3.0,2.0,2.0,四層,5,榜林
170.0,19.5,8.73,84.07%,公寓(5樓含以下無電梯),無,無,111,1,1,0,1.0,1.0,1.0,一層,3,下堡
430.0,22.0,19.52,77.32%,華廈(10層含以下有電梯),有,有,111,1,1,0,2.0,1.0,1.0,一層,5,西堡
620.0,21.6,31.13,74.82%,華廈(10層含以下有電梯),無,有,111,1,1,1,3.0,2.0,2.0,五層,5,瓊安路
600.0,19.7,32.8,73.04%,華廈(10層含以下有電梯),無,有,111,1,1,1,3.0,2.0,2.0,二層,5,瓊安路
820.0,19.1,42.93,59.88%,華廈(10層含以下有電梯),有,有,111,1,1,0,3.0,1.0,2.0,二層,6,頂堡
875.0,24.7,35.48,75.70%,華廈(10層含以下有電梯),無,有,111,3,1,0,3.0,2.0,2.0,一層,5,榜林
530.0,22.7,23.33,72.54%,華廈(10層含以下有電梯),無,有,111,1,1,0,3.0,2.0,2.0,二層,5,下堡
660.0,22.5,29.28,67.21%,華廈(10層含以下有電梯),無,有,111,1,1,0,3.0,2.0,2.0,四層,5,下堡
750.0,24.5,30.56,75.55%,華廈(10層含以下有電梯),無,有,111,1,1,0,3.0,2.0,2.0,五層,5,瓊安路
464.0,18.7,24.78,76.62%,公寓(5樓含以下無電梯),有,無,111,1,1,0,2.0,1.0,1.0,三層,3,下堡
170.0,22.8,7.47,78.30%,公寓(5樓含以下無電梯),無,無,111,1,1,0,1.0,1.0,1.0,二層,3,下堡
470.0,24.8,18.93,85.81%,公寓(5樓含以下無電梯),無,無,111,1,1,0,2.0,1.0,1.0,二層,3,仁愛新
175.0,23.8,7.34,78.15%,公寓(5樓含以下無電梯),無,無,111,1,1,0,1.0,1.0,1.0,三層,3,下堡
195.0,23.0,8.49,79.34%,公寓(5樓含以下無電梯),無,無,111,1,1,0,1.0,1.0,1.0,三層,3,下堡
205.0,21.3,9.62,81.85%,公寓(5樓含以下無電梯),無,無,111,1,1,0,1.0,1.0,1.0,三層,3,下堡
598.0,19.8,30.2,85.04%,華廈(10層含以下有電梯),有,有,111,2,1,0,3.0,2.0,2.0,一層,5,安岐
608.0,17.6,34.45,78.21%,華廈(10層含以下有電梯),有,有,111,2,1,0,3.0,2.0,2.0,三層,5,安岐
630.0,19.3,32.69,78.56%,華廈(10層含以下有電梯),有,有,111,2,1,0,3.0,2.0,2.0,四層,5,安岐
598.0,17.4,34.34,78.14%,華廈(10層含以下有電梯),有,有,111,2,1,0,3.0,2.0,2.0,五層,5,安岐
205.0,21.3,9.62,81.85%,公寓(5樓含以下無電梯),無,無,111,1,1,0,1.0,1.0,1.0,三層,3,下堡
580.0,16.9,34.34,78.14%,華廈(10層含以下有電梯),有,有,111,2,1,0,3.0,2.0,2.0,四層,5,安岐
390.0,22.5,17.87,68.87%,華廈(10層含以下有電梯),無,有,111,1,1,1,2.0,1.0,2.0,一層,5,下堡
618.0,18.9,32.69,78.56%,華廈(10層含以下有電梯),無,有,111,2,1,0,3.0,1.0,2.0,三層,5,安岐
638.0,19.5,32.69,78.56%,華廈(10層含以下有電梯),無,有,111,2,1,0,3.0,1.0,2.0,二層,5,安岐
646.0,19.8,32.69,78.56%,華廈(10層含以下有電梯),無,有,111,2,1,0,3.0,1.0,2.0,五層,5,安岐
