地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註
頂埔下２９號二樓之１６,,112/02/27,230,21.9,10.5,64.26%,華廈(10層含以下有電梯),7,二層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,有,有,住家用,
榜林６之１８號四樓,,112/02/22,830,22.9,36.17,74.62%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,
榜林６之１７號二樓,,112/02/21,895,25.2,35.48,75.70%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,
瓊安路１３０８號三樓,,112/02/13,540,20.1,26.82,74.82%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,有,住家用,
榜林６之１５號三樓,,112/02/13,828,22.9,36.17,74.62%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,
湖下２１３之５號,,112/02/13,850,20.6,41.29,63.82%,公寓(5樓含以下無電梯),5,一層/三層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,,有,無,住家用,
頂埔下２３之５號三樓,,112/02/08,230,24.7,9.32,75.24%,公寓(5樓含以下無電梯),9,三層/三層,房地(土地+建物),土:2 建:1車:0,1房1廳1衛,,無,無,住家用,
埔後３２之１號二樓之６,,112/02/07,290,29.3,9.89,84.29%,公寓(5樓含以下無電梯),8,二層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
瓊安路１３００號三樓,,112/01/16,680,22.3,30.56,75.55%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,
榜林６之１５號五樓,,112/01/10,830,22.9,36.17,74.62%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,
中堡１之７號二樓,,112/01/10,645,23.5,27.47,75.52%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,3房1廳2衛,,無,有,住家用,
下堡１００之１３號,,112/01/09,2000,30.4,65.88,65.07%,公寓(5樓含以下無電梯),9,一層/三層,房地(土地+建物)+車位,土:1 建:1車:1,4房0廳4衛,,有,無,住家用,
慈湖路一段１３９巷１８號,,112/01/07,620,0,25.23,,透天厝,12,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳4衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
下堡１９３號三樓,,112/01/06,260,23.5,11.07,80.22%,公寓(5樓含以下無電梯),8,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;
嚨口３６號,,112/01/05,565,22,25.74,89.25%,公寓(5樓含以下無電梯),2,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
榜林６之１７號三樓,,112/01/05,895,25.2,35.48,75.70%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,
盤果路６９號二樓,,112/01/04,910,24.3,37.44,73.70%,華廈(10層含以下有電梯),,二層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,
安岐１３８號,,112/01/03,1480,0,86.43,,透天厝,8,全/三層,房地(土地+建物)+車位,土:1 建:1車:1,5房3廳2衛,,無,無,住家用,
下堡１００之２９號三樓之１,,112/01/02,175,23.8,7.34,78.15%,公寓(5樓含以下無電梯),8,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
榜林６之１７號,,111/12/28,886,25,35.48,75.70%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,
榜林６之１８號五樓,,111/12/26,920,25.4,36.17,74.62%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,
盤果路６９號,,111/12/26,1200,34.7,34.62,79.72%,華廈(10層含以下有電梯),,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,本買賣標的包括約定專用停車位。親友、員工、共有人或其他特殊關係間之交易;
盤果路６９號四樓,,111/12/26,1000,26.7,37.44,73.70%,華廈(10層含以下有電梯),,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
榜林６之１５號四樓,,111/12/23,820,22.7,36.17,74.62%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,
下堡１００之２９號三樓之３,,111/12/22,195,23,8.49,79.34%,公寓(5樓含以下無電梯),8,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
下堡１００之２８號三樓之２,,111/12/18,173,23.2,7.47,78.30%,公寓(5樓含以下無電梯),8,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
湖南２號,,111/12/14,200,6.4,31.19,80.62%,公寓(5樓含以下無電梯),15,一層/三層,房地(土地+建物),土:1 建:2車:0,2房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
前厝４６之８號,,111/12/08,700,16.6,42.09,65.86%,華廈(10層含以下有電梯),5,一層/三層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,,有,有,住家用,
下堡１００之２９號三樓之２,,111/12/06,175,23.4,7.47,78.30%,公寓(5樓含以下無電梯),8,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
下堡１００之１７號三樓,,111/12/02,300,17.1,17.49,64.75%,公寓(5樓含以下無電梯),9,三層/三層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,,有,無,住家用,
盤果路６９號三樓,,111/12/01,900,24,37.44,73.70%,公寓(5樓含以下無電梯),,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,本案土地價款:新台幣３６０萬元整；本案建物價款:新台幣５４０萬元整。
榜林６之１５號二樓,,111/11/28,835,23.1,36.17,74.62%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,
榜林６之１６號五樓,,111/11/25,825,23.3,35.48,75.70%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,
榜林６之１６號四樓,,111/11/24,825,23.3,35.48,75.70%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,
湖下３０１之１號四樓,,111/11/24,580,25.1,23.14,73.64%,華廈(10層含以下有電梯),2,四層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,有,住家用,
榜林６之１６號三樓,,111/11/22,820,23.1,35.48,75.70%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,
南山２０－２號,,111/11/20,360,0,56.33,,透天厝,15,全/三層,房地(土地+建物),土:1 建:1車:0,4房3廳4衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
下堡１００之２５號三樓,,111/11/17,175,18.8,9.31,85.05%,公寓(5樓含以下無電梯),8,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
西浦頭７５之５號二樓,,111/11/13,605,20.8,29.08,82.75%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
榜林６之１７號四樓,,111/11/12,825,23.3,35.48,75.70%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
下堡１００之２３號,,111/11/11,170,19.5,8.73,84.07%,公寓(5樓含以下無電梯),8,一層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
西堡３９之１１號,,111/11/11,430,22,19.52,77.32%,華廈(10層含以下有電梯),2,一層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,有,住家用,含土地增值稅或其他稅費;
瓊安路１３０８號五樓,,111/11/10,620,21.6,31.13,74.82%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,40,無,有,住家用,
瓊安路１３０６號二樓之２,,111/11/10,600,19.7,32.8,73.04%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,40,無,有,住家用,
頂堡５之９號二樓,,111/11/09,820,19.1,42.93,59.88%,華廈(10層含以下有電梯),2,二層/六層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,有,有,住家用,
榜林６之１６號,,111/11/08,875,24.7,35.48,75.70%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
安岐２１６號,,111/11/03,1050,0,53.12,,透天厝,6,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳5衛,,無,無,住家用,
下堡１２０號二樓之２,,111/10/19,530,22.7,23.33,72.54%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉 土地價金係新台幣238.5萬元 建物價金係新台幣291.5萬元
下堡１２０號四樓之５,,111/10/19,660,22.5,29.28,67.21%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉 土地價金係新台幣297萬元 建物價金係新台幣363萬元
瓊安路１３００號五樓,,111/10/18,750,24.5,30.56,75.55%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,本交易標的另含10號停車位之使用權
下堡２２９號三樓,,111/10/17,464,18.7,24.78,76.62%,公寓(5樓含以下無電梯),5,三層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,
下堡１００之２８號二樓之２,,111/10/11,170,22.8,7.47,78.30%,公寓(5樓含以下無電梯),8,二層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
安岐２３８號,,111/10/11,1158,0,65.56,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,5房1廳5衛,,無,無,住家用,建物第一次登記後移轉
仁愛新６６之３號二樓,,111/10/04,470,24.8,18.93,85.81%,公寓(5樓含以下無電梯),5,二層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
下堡１００之２８號三樓之１,,111/10/04,175,23.8,7.34,78.15%,公寓(5樓含以下無電梯),8,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
下堡１００之２８號三樓之３,,111/10/04,195,23,8.49,79.34%,公寓(5樓含以下無電梯),8,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
下堡１００之２９號三樓,,111/10/03,205,21.3,9.62,81.85%,公寓(5樓含以下無電梯),8,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
安岐２３８之５號,,111/10/02,598,19.8,30.2,85.04%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用,建物第一次登記後移轉
安岐２３８之３號三樓,,111/10/02,608,17.6,34.45,78.21%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用,建物第一次登記後移轉
